0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:17 +0100] "GET /tp_revision/exercice/revision/persons/10840113 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:26 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:34 +0100] "GET /tp_revision/exercice/revision/persons/2 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:43 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:48 +0100] "DELETE /tp_revision/exercice/revision/persons/3 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:48 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:50 +0100] "DELETE /tp_revision/exercice/revision/persons/2 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:23:50 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:01 +0100] "POST /tp_revision/exercice/revision/persons HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:02 +0100] "GET /tp_revision/assets/js/api.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:02 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:05 +0100] "DELETE /tp_revision/exercice/revision/persons/4 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:05 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:10 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:10 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:24:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:26 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:26 +0100] "GET /tp_revision/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:26 +0100] "GET /tp_revision/assets/js/ui-common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:26 +0100] "GET /tp_revision/assets/js/api.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:36 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:50 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:50 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:28:52 +0100] "GET /tp_revision/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:29:04 +0100] "POST /tp_revision/exercice/revision/persons HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:29:06 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:29:08 +0100] "DELETE /tp_revision/exercice/revision/persons/5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:29:08 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:29:10 +0100] "GET /tp_revision/search.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:29:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:10 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:10 +0100] "GET /tp_revision/assets/js/api.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:10 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:11 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:12 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:13 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:16 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:33:59 +0100] "POST /tp_revision/exercice/revision/persons HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:01 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:22 +0100] "POST /tp_revision/exercice/revision/persons HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:24 +0100] "GET /tp_revision/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:24 +0100] "GET /tp_revision/assets/js/ui-common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:24 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:33 +0100] "GET /tp_revision/exercice/revision/persons/6 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:38 +0100] "GET /tp_revision/exercice/revision/persons/7 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:47 +0100] "GET /tp_revision/exercice/revision/persons/search?nom=mohaned%20akrichi HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:34:56 +0100] "GET /tp_revision/exercice/revision/persons/search?nom=ali HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:00 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:35:01 +0100] "GET /tp_revision/index.html HTTP/1.1" 304 -
